ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000725.SZ,2026-05-22,4.7,5.16,4.47,5.16,4.69,0.47,10.0213,60110591.97,29162865.532
000725.SZ,2026-05-25,5.17,5.37,5.06,5.27,5.16,0.11,2.1318,43088758.18,22498860.486
000725.SZ,2026-05-26,5.22,5.8,5.18,5.77,5.27,0.5,9.4877,51377251.21,28645747.449
000725.SZ,2026-05-27,5.8,6.09,5.53,5.72,5.77,-0.05,-0.8666,50185215.56,29012705.322
000725.SZ,2026-05-28,5.72,5.78,5.51,5.68,5.72,-0.04,-0.6993,32854868.53,18529038.148
000725.SZ,2026-05-29,5.63,5.64,5.11,5.11,5.68,-0.57,-10.0352,36253858.64,19135809.571
000725.SZ,2026-06-01,5.12,5.59,5.12,5.36,5.11,0.25,4.8924,33868875.93,18297384.714
000725.SZ,2026-06-02,5.31,5.54,5.11,5.47,5.36,0.11,2.0522,30258455.29,16146951.841
000725.SZ,2026-06-03,5.58,5.92,5.53,5.59,5.47,0.12,2.1938,36797583.81,20984987.698
000725.SZ,2026-06-04,5.69,6.15,5.69,6.15,5.59,0.56,10.0179,33229988.19,19950265.964
000725.SZ,2026-06-05,6.11,6.77,6.01,6.43,6.15,0.28,4.5528,55041155.19,35684789.249
000725.SZ,2026-06-08,6.48,6.74,6.22,6.29,6.43,-0.14,-2.1773,45998759.18,29701641.889
000725.SZ,2026-06-09,6.49,6.64,6.14,6.52,6.29,0.23,3.6566,40031647.16,25595961.2433
000725.SZ,2026-06-10,6.34,6.38,5.94,6.03,6.52,-0.49,-7.5153,32284804.44,19645901.373
000725.SZ,2026-06-11,6.0,6.12,5.7,5.83,6.03,-0.2,-3.3167,32996828.55,19435833.0391
000725.SZ,2026-06-12,5.95,6.01,5.56,5.57,5.83,-0.26,-4.4597,29146433.93,16741278.0957
000725.SZ,2026-06-15,5.74,6.01,5.73,5.92,5.57,0.35,6.2837,29928306.68,17610050.7501
000725.SZ,2026-06-16,5.93,6.23,5.86,6.1,5.92,0.18,3.0405,26028372.28,15822472.9364
000725.SZ,2026-06-17,6.06,6.71,6.05,6.71,6.1,0.61,10.0,18550205.5,12134264.3421
000725.SZ,2026-06-18,6.86,6.93,6.49,6.55,6.65,-0.1,-1.5038,40032426.76,26654280.0345
000725.SZ,2026-06-22,6.8,7.18,6.68,6.93,6.55,0.38,5.8015,36729053.39,25427024.792
000725.SZ,2026-06-23,6.85,7.07,6.61,6.77,6.93,-0.16,-2.3088,29140578.3,19894656.6078
000725.SZ,2026-06-24,6.7,7.15,6.57,7.07,6.77,0.3,4.4313,35877142.21,24997368.6827
000725.SZ,2026-06-25,7.33,7.67,7.14,7.52,7.07,0.45,6.3649,36963548.24,27560399.3288
000725.SZ,2026-06-26,7.5,8.24,7.36,7.79,7.52,0.27,3.5904,45251768.76,35676682.2144
000725.SZ,2026-06-29,7.96,8.21,7.51,7.95,7.79,0.16,2.0539,41524576.45,32489059.9646
000725.SZ,2026-06-30,8.15,8.75,8.11,8.68,7.95,0.73,9.1824,51878996.69,44556777.5971
000725.SZ,2026-07-01,8.49,8.81,8.31,8.77,8.68,0.09,1.0369,46253149.88,39601267.2643
000725.SZ,2026-07-02,8.15,9.5,7.89,9.1,8.77,0.33,3.7628,56618588.99,49342409.554
000725.SZ,2026-07-03,8.86,9.09,8.31,8.38,9.1,-0.72,-7.9121,41442066.67,35597368.8054
